month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Jul-81,48.9,49.3,expansion,-0.00811359,-0.022,-0.02004008,0,0,0,orange,0.0037222960000000034
Ago-81,48.7,49.3,contraction,-0.00408998,-0.020120724,-0.018145161,0,0,0,orange,0.0018949189999999984
Set-81,48.1,49.2,contraction,-0.012320329,-0.024340771,-0.032193159,0,0,0,red,-0.014047997999999999
Oct-81,47.7,48.9,contraction,-0.008316008,-0.024539877,-0.046,0,0,0,red,-0.013806841
Nov-81,47.6,48.7,contraction,-0.002096436,-0.022587269,-0.042253521,0,0,0,red,0.003746478999999997
Dic-81,47.4,48.5,contraction,-0.004201681,-0.014553015,-0.038539554,0,0,0,red,0.0037139670000000055
Ene-82,46.9,48.1,contraction,-0.010548523,-0.016771488,-0.040899796,0,0,0,red,-0.0023602420000000054
Feb-82,47.2,48.5,contraction,0.006396588,-0.008403361,-0.030800821,1,0,0,red,0.010098975000000003
Mar-82,46.9,48.4,contraction,-0.006355932,-0.010548523,-0.024948025,0,0,0,red,0.005852796
Abr-82,46.9,48.4,contraction,0.0,0.0,-0.016771488,0,0,0,red,0.008176536999999998
May-82,46.7,48.3,contraction,-0.004264392,-0.01059322,-0.018907563,0,0,0,red,-0.0021360749999999977
Jun-82,46.4,48.1,contraction,-0.006423983,-0.010660981,-0.021097046,0,0,0,red,-0.0021894830000000025
Jul-82,46.5,47.9,contraction,0.002155172,-0.008528785,-0.008528785,1,0,0,red,0.012568261
Ago-82,46.1,47.8,contraction,-0.008602151,-0.012847966,-0.023305085,0,0,0,red,-0.0147763
Set-82,46.5,47.7,contraction,0.00867679,0.002155172,-0.008528785,1,1,0,light green,0.0147763
Oct-82,46.7,47.4,contraction,0.004301075,0.004301075,-0.004264392,1,1,0,light green,0.004264393000000001
